0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
38.8,d_19000701,36.2,25,12.2,7.7,3.6,0,25.1,19.5,11.4,5.4,1.3
39.4,d_19000801,34.9,21.7,9.1,5.2,2.2,0,25.5,18.8,10.2,5.8,1.8
40.9,d_19000901,31.2,18.5,7.1,3.5,1.1,0,28,21.2,11.6,6.5,1.6
40.2,d_19001001,23.7,15.2,5.6,2.6,0.5,0,36.2,26.5,14.4,8.4,2.5
43.7,d_19001101,20.1,11.3,3.1,1.2,0.1,0,36,25.6,12.4,6.1,1.6
44.1,d_19001201,23.3,14,4.2,1.6,0.2,0,32.5,22.4,10.4,4.9,1.1
40.2,d_19010101,33.4,24.8,13.7,9.4,5.3,0,26.2,16.5,6,2.9,0.5
39.1,d_19010201,28,19.9,9,5.2,3,0,32.9,20.6,7.7,3.6,1.3
39.6,d_19010301,29,18.9,7.7,4.1,1.9,0,31.4,21.3,10.5,6.6,3.5
44.3,d_19010401,27.4,15.8,4.3,1.8,0.8,0,28.4,17,7.6,4.4,2.3
41.5,d_19010501,27.9,18,5,1.6,0.4,0,30.4,16.5,3.4,1,0.1
38.8,d_19010601,36.9,26.7,10.2,4.3,0.8,0,24.5,14,4.6,1.7,0.3
35.2,d_19010701,44.9,34.7,18.5,10.5,2.9,0,19.8,11.1,2.7,1,0.2
36.4,d_19010801,43.8,34.3,20.4,13.8,7.2,0,19.8,12.8,5.6,3.1,1.3
38.8,d_19010901,35.9,27.5,15.1,10.6,5.7,0,25.3,16.3,5.6,3.1,1.6
40.2,d_19011001,37.1,27.6,14.6,9.8,5.1,0,22.7,12.8,3.9,2.3,1.1
34.7,d_19011101,47.9,37.2,21.6,14.6,7.6,0,17.4,10.5,4,2.6,1.5
35.1,d_19011201,44.8,35.4,20.8,14.2,8,0,20,13.1,6.4,4.2,2.5
30.9,d_19020101,53.3,39.7,22.6,14.5,6.9,0,15.9,9.8,4.3,2.4,1
31.6,d_19020201,47.8,36.9,22.6,15.9,8,0,20.6,14.8,6.5,3.4,1
32.6,d_19020301,42.5,33,19.2,11.9,4,0,24.7,16.3,6.5,2.6,0.5
31.4,d_19020401,44.7,35.5,21.3,13.4,5,0,23.9,15.8,5.6,2.2,0.6
37.3,d_19020501,42.1,30.3,15.7,8.7,3.2,0,20.6,12.3,3.3,1.2,0.3
39.5,d_19020601,42.9,30.5,13.7,6.3,1.7,0,17.5,9.3,2.7,1.3,0.3
36.3,d_19020701,37.8,26.8,13.6,8.1,3.9,0,26,16.3,6.1,2.9,0.9
34.7,d_19020801,36.1,25,12.3,7.1,3,0,29.2,18.9,8.5,4.9,1.8
38.6,d_19020901,35.2,24.9,12.1,6.4,2,0,26.1,16.7,6.3,3.2,1.1
35.8,d_19021001,33.4,24.2,13.4,8.4,3.5,0,30.7,20.7,8.2,4.2,1.6
38,d_19021101,31.4,21.6,8.6,4,1,0,30.5,19.4,7.3,3.7,1.5
38.9,d_19021201,29.7,19.7,8.4,4.4,1.6,0,31.2,20.8,7.8,4,2
37.5,d_19030101,26.2,16.4,5.7,2.6,0.6,0,36.5,24,9.8,5.6,2.9
36.9,d_19030201,22.5,13.4,4,2,0.6,0,40.6,29,13.8,8,4
36.5,d_19030301,16.7,9.4,3.4,2.1,1,0,47,32.4,14.5,7.4,2.1
44.4,d_19030401,15.9,8.9,3,1.4,0.7,0,39.7,25.1,7,2.5,0.4
43.2,d_19030501,13.7,6.8,1.9,0.9,0.2,0,43.3,30.6,11.3,4.6,1.6
47.5,d_19030601,12,6.4,1.9,0.7,0.1,0,40.6,25.5,8.4,3.6,0.6
45.7,d_19030701,8.7,3.5,1.1,0.5,0.1,0,45.7,29,9.8,4.8,1.5
46.5,d_19030801,11.7,5.3,0.8,0.2,0,0,41.9,29.3,12.5,7.1,2.6
48.7,d_19030901,17.2,7.5,1,0.2,0,0,33.9,22.4,7.7,3.5,0.9
40.2,d_19031001,27.2,15.6,4,1.3,0.2,0,32.5,21.4,7.6,3.9,1.1
38.4,d_19031101,35.1,22.9,8.9,3.5,0.8,0,26.5,16.5,5.3,2.4,0.7
34.9,d_19031201,47.2,35.8,18.1,10.3,4,0,17.9,10.6,4.3,1.9,0.4
33.8,d_19040101,47.2,37.3,21.2,13.6,5.5,0,19.2,11.3,4.3,1.9,0.4
31.7,d_19040201,44.5,35.9,21,13.8,5.8,0,23.8,14.4,4.6,1.6,0.4
19.7,d_19040301,45.5,38,26.2,19.9,11.2,0,34.9,27.5,15.6,9.8,3.8
20.2,d_19040401,49.1,42.8,29.6,20.7,11.5,0,30.8,24.2,12.7,7.5,3.3
25.4,d_19040501,52.4,44.3,27.9,17.6,8.3,0,22.3,15.6,7.4,4.1,1.6
30.4,d_19040601,48.1,35.8,18.9,14.4,9.4,0,21.5,15,6.6,3.5,1.2
31.2,d_19040701,45.3,33.3,16.7,11,4.7,0,23.5,17.2,8.6,4.9,2
