date,name,lat,lon,wind_speed,category
2005-07-18 06:30:00,EMILY,20.3,-87.4,115.0,Category 4
2005-07-20 12:00:00,EMILY,24.8,-97.6,110.0,Category 3
2005-07-25 00:00:00,GERT,21.8,-97.6,40.0,Tropical Storm
2005-08-23 03:30:00,JOSE,19.7,-96.4,50.0,Tropical Storm
2005-08-25 22:30:00,KATRINA,26.0,-80.1,70.0,Category 1
2005-08-29 11:10:00,KATRINA,29.3,-89.6,110.0,Category 3
2005-08-29 14:45:00,KATRINA,30.2,-89.6,105.0,Category 3
2005-09-06 16:00:00,OPHELIA,26.6,-78.3,25.0,Tropical Depression
2005-09-24 07:40:00,RITA,29.7,-93.7,100.0,Category 3
2005-10-02 10:00:00,STAN,19.6,-87.5,35.0,Tropical Storm
2005-10-04 12:00:00,STAN,18.6,-94.9,70.0,Category 1
2005-10-05 23:00:00,TAMMY,30.4,-81.4,45.0,Tropical Storm
2005-10-11 09:00:00,VINCE,37.2,-7.1,30.0,Tropical Depression
2005-10-21 21:45:00,WILMA,20.6,-86.8,130.0,Category 4
2005-10-22 03:30:00,WILMA,20.8,-86.9,115.0,Category 4
2005-10-23 10:00:00,ALPHA,18.3,-71.3,45.0,Tropical Storm
2005-10-24 10:30:00,WILMA,25.9,-81.7,105.0,Category 3
2005-10-30 12:00:00,BETA,12.9,-83.5,90.0,Category 2
2006-06-13 16:30:00,ALBERTO,29.9,-83.7,40.0,Tropical Storm
2006-07-21 06:45:00,BERYL,41.3,-70.1,45.0,Tropical Storm
2006-08-28 11:15:00,ERNESTO,19.9,-75.5,35.0,Tropical Storm
2006-08-30 03:00:00,ERNESTO,24.9,-80.6,40.0,Tropical Storm
2006-08-30 05:00:00,ERNESTO,25.2,-80.7,40.0,Tropical Storm
2006-09-01 03:40:00,ERNESTO,33.9,-78.1,60.0,Tropical Storm
2007-06-02 14:00:00,BARRY,27.5,-82.7,30.0,Tropical Depression
2007-08-16 10:30:00,ERIN,28.0,-96.9,30.0,Tropical Depression
2007-08-21 08:30:00,DEAN,18.7,-87.7,150.0,Category 5
2007-08-22 16:30:00,DEAN,20.5,-97.0,85.0,Category 2
2007-09-01 08:45:00,FELIX,12.1,-61.7,45.0,Tropical Storm
2007-09-04 12:00:00,FELIX,14.3,-83.2,140.0,Category 5
2007-09-09 15:30:00,GABRIELLE,34.8,-76.4,50.0,Tropical Storm
2007-09-13 07:00:00,HUMBERTO,29.6,-94.3,80.0,Category 1
2007-09-22 00:00:00,TEN,30.4,-86.7,25.0,Tropical Depression
2007-09-28 05:00:00,LORENZO,20.5,-97.0,65.0,Category 1
2007-10-29 07:00:00,NOEL,18.1,-72.5,45.0,Tropical Storm
2007-10-30 06:00:00,NOEL,21.1,-75.8,50.0,Tropical Storm
2007-11-01 13:15:00,NOEL,24.1,-77.9,50.0,Tropical Storm
2007-11-01 17:45:00,NOEL,25.0,-77.4,55.0,Tropical Storm
2007-12-11 07:00:00,OLGA,18.4,-66.5,40.0,Tropical Storm
2007-12-11 18:00:00,OLGA,18.5,-68.4,50.0,Tropical Storm
2008-05-31 09:00:00,ARTHUR,17.9,-88.2,40.0,Tropical Storm
2008-07-21 05:30:00,DOLLY,20.8,-87.0,45.0,Tropical Storm
2008-07-23 18:20:00,DOLLY,26.4,-97.2,75.0,Category 1
2008-07-23 20:00:00,DOLLY,26.4,-97.4,70.0,Category 1
2008-08-05 12:00:00,EDOUARD,29.6,-94.2,55.0,Tropical Storm
2008-08-15 14:30:00,FAY,18.5,-68.4,35.0,Tropical Storm
2008-08-16 11:45:00,FAY,18.8,-72.8,40.0,Tropical Storm
2008-08-17 09:00:00,FAY,19.9,-77.4,45.0,Tropical Storm
2008-08-18 07:00:00,FAY,22.1,-80.8,45.0,Tropical Storm
2008-08-18 20:30:00,FAY,24.5,-81.8,50.0,Tropical Storm
2008-08-19 08:45:00,FAY,25.9,-81.6,55.0,Tropical Storm
2008-08-21 19:00:00,FAY,29.3,-81.1,55.0,Tropical Storm
2008-08-23 06:15:00,FAY,29.8,-84.7,45.0,Tropical Storm
2008-08-26 18:00:00,GUSTAV,18.1,-72.8,70.0,Category 1
2008-08-28 18:00:00,GUSTAV,18.0,-76.2,60.0,Tropical Storm
2008-08-29 02:00:00,GUSTAV,17.9,-77.2,60.0,Tropical Storm
2008-08-30 18:00:00,GUSTAV,21.6,-82.5,125.0,Category 4
2008-08-30 22:00:00,GUSTAV,22.4,-83.1,135.0,Category 4
2008-09-01 15:00:00,GUSTAV,29.2,-90.7,90.0,Category 2
2008-09-02 00:00:00,HANNA,21.8,-72.3,75.0,Category 1
2008-09-03 19:00:00,HANNA,21.7,-71.8,50.0,Tropical Storm
2008-09-06 07:00:00,HANNA,33.8,-78.7,60.0,Tropical Storm
2008-09-07 13:00:00,IKE,21.0,-73.2,110.0,Category 3
2008-09-08 02:00:00,IKE,21.1,-75.7,115.0,Category 4
2008-09-09 14:00:00,IKE,22.6,-82.9,70.0,Category 1
2008-09-13 07:00:00,IKE,29.3,-94.7,95.0,Category 2
2008-09-29 00:00:00,KYLE,43.8,-66.2,65.0,Category 1
2008-10-07 12:00:00,MARCO,19.9,-96.5,55.0,Tropical Storm
2008-10-15 12:30:00,SIXTEEN,15.9,-84.5,25.0,Tropical Depression
2008-11-09 01:00:00,PALOMA,20.7,-78.0,85.0,Category 2
2009-08-17 05:30:00,CLAUDETTE,30.4,-86.5,40.0,Tropical Storm
2009-08-24 03:00:00,BILL,46.9,-56.0,60.0,Tropical Storm
2009-09-02 18:30:00,ERIKA,16.3,-61.3,35.0,Tropical Storm
2009-11-05 12:00:00,IDA,12.9,-83.6,70.0,Category 1
2010-06-27 00:00:00,ALEX,17.5,-88.2,55.0,Tropical Storm
